budget_ok,secteur_ok,type_ok,surface_ok,rooms_ok,urgency_level,financing_status,price_diff_pct,surface_diff,rooms_diff,budget_score,secteur_score,type_score,surface_score,rooms_score,score_total,label
0,0,1,1,0,4.0,1.0,-0.444,108,-1,15,0,20,15,0,50,0
0,0,1,1,1,4.0,1.0,-0.3865,53,2,15,0,20,15,10,60,0
0,0,1,1,1,4.0,1.0,-0.8772,42,3,15,0,20,15,10,60,0
1,1,0,1,1,4.0,1.0,-0.1205,347,6,30,25,0,15,10,80,1
0,0,1,1,0,4.0,1.0,-0.7863,42,-1,15,0,20,15,0,50,0
0,0,0,1,1,4.0,1.0,0.5455,96,6,0,0,0,15,10,25,0
0,0,0,1,1,4.0,1.0,0.1633,280,1,15,0,0,15,10,40,0
0,1,1,1,1,4.0,1.0,-0.844,11,2,15,25,20,15,10,85,0
0,0,1,1,1,4.0,1.0,-0.5605,117,2,15,0,20,15,10,60,0
0,0,0,1,1,4.0,1.0,-0.3835,273,5,15,0,0,15,10,40,0
0,1,1,1,1,4.0,1.0,-0.4682,41,1,15,25,20,15,10,85,0
0,1,1,1,0,4.0,1.0,-0.6805,42,-1,15,25,20,15,0,75,0
0,1,1,1,1,4.0,1.0,-0.8862,104,3,15,25,20,15,10,85,0
0,0,1,1,1,4.0,1.0,-0.3817,60,0,15,0,20,15,10,60,0
0,0,0,1,1,4.0,1.0,-0.3845,150,2,15,0,0,15,10,40,0
0,1,1,1,0,4.0,1.0,-0.46,22,-1,15,25,20,15,0,75,0
0,0,0,1,1,4.0,1.0,-0.4795,194,2,15,0,0,15,10,40,0
0,0,1,1,1,4.0,1.0,-0.3767,90,3,15,0,20,15,10,60,0
0,0,1,1,1,4.0,1.0,-0.5025,48,3,15,0,20,15,10,60,0
0,0,1,1,0,4.0,1.0,-0.8323,80,-1,15,0,20,15,0,50,0
0,1,1,0,0,4.0,1.0,-0.5473,-1,-1,15,25,20,8,0,68,0
0,0,1,1,1,4.0,1.0,-0.6385,87,0,15,0,20,15,10,60,0
0,0,1,0,1,4.0,1.0,-0.7385,-2,1,15,0,20,8,10,53,0
0,1,1,1,0,4.0,1.0,-0.8297,52,-1,15,25,20,15,0,75,0
0,0,0,1,1,4.0,1.0,0.4305,302,6,0,0,0,15,10,25,0
0,0,0,1,1,4.0,1.0,0.426,198,7,0,0,0,15,10,25,0
0,1,0,1,1,4.0,1.0,0.0882,193,3,15,25,0,15,10,65,0
0,0,1,1,0,4.0,1.0,-0.6302,47,-1,15,0,20,15,0,50,0
0,1,1,1,1,4.0,1.0,-0.4472,25,0,15,25,20,15,10,85,0
0,1,1,1,0,4.0,1.0,-0.7645,69,-1,15,25,20,15,0,75,0
1,0,0,1,1,4.0,1.0,-0.27,99,6,30,0,0,15,10,55,0
0,0,1,1,1,4.0,1.0,-0.8602,38,1,15,0,20,15,10,60,0
0,0,1,1,1,4.0,1.0,-0.827,75,1,15,0,20,15,10,60,0
0,0,1,1,1,4.0,1.0,-0.7185,99,2,15,0,20,15,10,60,0
0,1,1,1,1,4.0,1.0,-0.584,88,0,15,25,20,15,10,85,0
0,0,0,1,1,4.0,1.0,0.0175,372,6,15,0,0,15,10,40,0
0,0,1,1,1,4.0,1.0,-0.612,17,3,15,0,20,15,10,60,0
0,0,0,1,1,4.0,1.0,0.8413,107,3,0,0,0,15,10,25,0
0,0,0,1,1,4.0,1.0,-0.4455,283,5,15,0,0,15,10,40,0
1,0,0,1,1,4.0,1.0,-0.07,112,1,30,0,0,15,10,55,0
0,0,1,1,1,4.0,1.0,-0.8988,102,3,15,0,20,15,10,60,0
1,1,0,1,1,4.0,1.0,-0.1628,73,1,30,25,0,15,10,80,1
0,1,0,1,1,4.0,1.0,-0.533,112,6,15,25,0,15,10,65,0
0,1,0,1,1,4.0,1.0,0.6212,173,3,0,25,0,15,10,50,0
1,0,0,1,1,4.0,1.0,-0.0437,121,3,30,0,0,15,10,55,0
0,1,1,1,1,4.0,1.0,-0.8438,102,2,15,25,20,15,10,85,0
0,0,0,1,1,4.0,1.0,-0.5265,292,3,15,0,0,15,10,40,0
0,0,0,1,1,4.0,1.0,-0.7545,294,4,15,0,0,15,10,40,0
0,0,1,1,1,4.0,1.0,-0.619,81,0,15,0,20,15,10,60,0
0,0,0,1,1,4.0,1.0,0.211,108,5,0,0,0,15,10,25,0
0,0,1,1,1,4.0,1.0,-0.8542,104,0,15,0,20,15,10,60,0
0,0,1,1,0,4.0,1.0,-0.6038,29,-1,15,0,20,15,0,50,0
0,0,0,1,1,4.0,1.0,0.1472,166,6,15,0,0,15,10,40,0
0,0,0,1,1,4.0,1.0,0.2362,252,3,0,0,0,15,10,25,0
1,0,0,1,1,4.0,1.0,-0.3473,384,6,30,0,0,15,10,55,0
0,0,1,1,1,4.0,1.0,-0.4532,107,2,15,0,20,15,10,60,0
0,0,1,1,0,4.0,1.0,-0.858,89,-1,15,0,20,15,0,50,0
0,0,1,1,1,4.0,1.0,-0.3842,35,3,15,0,20,15,10,60,0
0,0,0,1,1,4.0,1.0,0.7983,315,4,0,0,0,15,10,25,0
0,1,1,1,1,4.0,1.0,-0.469,108,1,15,25,20,15,10,85,0
0,0,0,1,1,4.0,1.0,-0.488,268,2,15,0,0,15,10,40,0
0,1,1,1,1,4.0,1.0,-0.73,65,0,15,25,20,15,10,85,0
0,0,1,1,0,4.0,1.0,-0.6218,15,-1,15,0,20,15,0,50,0
0,0,1,1,1,4.0,1.0,-0.6342,59,3,15,0,20,15,10,60,0
0,1,1,1,1,4.0,1.0,-0.5883,72,1,15,25,20,15,10,85,0
0,0,0,1,1,4.0,1.0,-0.71,75,5,15,0,0,15,10,40,0
0,1,0,1,1,4.0,1.0,-0.685,78,2,15,25,0,15,10,65,0
0,0,1,1,0,4.0,1.0,-0.8387,68,-1,15,0,20,15,0,50,0
0,0,1,1,1,4.0,1.0,-0.7167,33,1,15,0,20,15,10,60,0
0,1,1,1,1,4.0,1.0,-0.3932,57,2,15,25,20,15,10,85,0
0,0,1,1,1,4.0,1.0,-0.4073,115,1,15,0,20,15,10,60,0
0,0,0,1,1,4.0,1.0,0.6118,130,2,0,0,0,15,10,25,0
0,0,1,1,1,4.0,1.0,-0.8265,59,3,15,0,20,15,10,60,0
0,1,1,1,1,4.0,1.0,-0.814,9,2,15,25,20,15,10,85,0
0,0,0,1,1,4.0,1.0,0.4978,100,4,0,0,0,15,10,25,0
0,0,1,1,1,4.0,1.0,-0.5913,84,3,15,0,20,15,10,60,0
0,0,0,1,1,4.0,1.0,0.1472,137,6,15,0,0,15,10,40,0
0,0,1,1,0,4.0,1.0,-0.778,92,-1,15,0,20,15,0,50,0
0,1,0,1,1,4.0,1.0,0.3142,199,4,0,25,0,15,10,50,0
0,0,1,1,1,4.0,1.0,-0.7242,62,1,15,0,20,15,10,60,0
1,0,0,1,1,4.0,1.0,-0.2672,80,5,30,0,0,15,10,55,0
0,0,1,1,0,4.0,1.0,-0.7362,33,-1,15,0,20,15,0,50,0
0,0,1,1,1,4.0,1.0,-0.6008,28,2,15,0,20,15,10,60,0
0,1,1,1,1,4.0,1.0,-0.7205,118,0,15,25,20,15,10,85,0
0,1,1,1,1,4.0,1.0,-0.66,42,2,15,25,20,15,10,85,0
0,0,1,1,1,4.0,1.0,-0.6165,10,3,15,0,20,15,10,60,0
0,0,1,1,1,4.0,1.0,-0.4948,63,2,15,0,20,15,10,60,0
0,0,1,1,1,4.0,1.0,-0.603,110,1,15,0,20,15,10,60,0
0,0,1,1,1,4.0,1.0,-0.466,22,3,15,0,20,15,10,60,0
0,1,1,1,1,4.0,1.0,-0.4027,99,0,15,25,20,15,10,85,0
1,0,0,1,1,4.0,1.0,-0.3488,236,7,30,0,0,15,10,55,0
1,0,0,1,1,4.0,1.0,-0.1673,169,4,30,0,0,15,10,55,0
0,0,1,1,1,4.0,1.0,-0.4158,63,3,15,0,20,15,10,60,0
0,0,0,1,1,4.0,1.0,0.3645,201,2,0,0,0,15,10,25,0
1,0,0,1,1,4.0,1.0,-0.3438,146,6,30,0,0,15,10,55,0
0,1,1,1,0,4.0,1.0,-0.8405,6,-1,15,25,20,15,0,75,0
0,1,1,1,1,4.0,1.0,-0.8345,105,2,15,25,20,15,10,85,0
0,1,0,1,1,4.0,1.0,0.387,150,4,0,25,0,15,10,50,0
0,0,1,1,0,4.0,1.0,-0.792,48,-1,15,0,20,15,0,50,0
0,1,1,1,1,4.0,1.0,-0.6178,30,2,15,25,20,15,10,85,0
0,1,1,1,1,4.0,1.0,-0.6475,125,0,15,25,20,15,10,85,0
0,1,0,1,1,4.0,1.0,-0.4507,223,4,15,25,0,15,10,65,0
0,1,1,1,1,4.0,1.0,-0.68,20,2,15,25,20,15,10,85,0
0,1,1,1,1,4.0,1.0,-0.568,24,1,15,25,20,15,10,85,0
0,0,0,1,1,4.0,1.0,-0.5925,278,1,15,0,0,15,10,40,0
0,1,0,1,1,4.0,1.0,0.122,272,5,15,25,0,15,10,65,0
0,0,1,1,0,4.0,1.0,-0.7428,99,-1,15,0,20,15,0,50,0
1,0,0,1,1,4.0,1.0,-0.1852,310,4,30,0,0,15,10,55,0
0,1,0,1,1,4.0,1.0,-0.5795,97,6,15,25,0,15,10,65,0
0,0,0,1,1,4.0,1.0,-0.7077,95,3,15,0,0,15,10,40,0
0,1,1,1,1,4.0,1.0,-0.639,108,0,15,25,20,15,10,85,0
0,1,1,1,1,4.0,1.0,-0.8602,124,3,15,25,20,15,10,85,0
0,1,0,1,1,4.0,1.0,0.1447,75,2,15,25,0,15,10,65,0
0,0,1,1,1,4.0,1.0,-0.459,82,2,15,0,20,15,10,60,0
0,1,1,1,0,4.0,1.0,-0.6102,3,-1,15,25,20,15,0,75,0
0,0,1,1,0,4.0,1.0,-0.48,67,-1,15,0,20,15,0,50,0
1,0,0,1,1,4.0,1.0,-0.1427,192,5,30,0,0,15,10,55,0
1,0,0,1,1,4.0,1.0,-0.1568,161,6,30,0,0,15,10,55,0
0,1,0,1,1,4.0,1.0,0.193,209,4,15,25,0,15,10,65,0
0,0,1,1,1,4.0,1.0,-0.8932,50,0,15,0,20,15,10,60,0
0,0,1,1,1,4.0,1.0,-0.8355,80,1,15,0,20,15,10,60,0
0,1,1,1,1,4.0,1.0,-0.5305,24,2,15,25,20,15,10,85,0
0,1,1,1,1,4.0,1.0,-0.4667,6,0,15,25,20,15,10,85,0
0,0,0,1,1,4.0,1.0,0.0765,184,4,15,0,0,15,10,40,0
1,0,0,1,1,4.0,1.0,-0.328,287,1,30,0,0,15,10,55,0
0,0,1,1,1,4.0,1.0,-0.8265,81,2,15,0,20,15,10,60,0
0,0,0,1,0,3.0,1.0,-0.5073,17,-5,15,0,0,15,0,30,0
0,1,0,1,1,3.0,1.0,-0.3747,96,2,15,25,0,15,10,65,0
0,0,0,1,0,3.0,1.0,-0.726,41,-5,15,0,0,15,0,30,0
0,0,0,1,0,3.0,1.0,0.2353,24,-4,0,0,0,15,0,15,0
0,0,1,1,1,3.0,1.0,3.182,211,1,0,0,20,15,10,45,0
0,0,1,1,1,3.0,1.0,1.7993,319,1,0,0,20,15,10,45,0
0,0,1,1,0,3.0,1.0,1.5653,237,-2,0,0,20,15,0,35,0
0,0,0,1,0,3.0,1.0,1.3393,199,-1,0,0,0,15,0,15,0
1,0,0,0,0,3.0,1.0,-0.052,-20,-1,30,0,0,0,0,30,0
1,1,0,0,0,3.0,1.0,-0.2433,-31,-4,30,25,0,0,0,55,0
0,0,1,1,1,3.0,1.0,0.4307,189,1,0,0,20,15,10,45,0
0,0,0,1,1,3.0,1.0,2.1707,29,0,0,0,0,15,10,25,0
0,1,0,1,1,3.0,1.0,0.612,129,2,0,25,0,15,10,50,0
1,0,0,0,0,3.0,1.0,-0.134,-34,-1,30,0,0,0,0,30,0
0,1,1,1,1,3.0,1.0,3.7453,141,1,0,25,20,15,10,70,0
0,0,1,1,1,3.0,1.0,1.0113,203,0,0,0,20,15,10,45,0
0,0,0,0,0,3.0,1.0,0.5687,-4,-4,0,0,0,8,0,8,0
0,0,0,1,0,3.0,1.0,-0.3773,56,-4,15,0,0,15,0,30,0
0,0,0,0,0,3.0,1.0,-0.542,-41,-5,15,0,0,0,0,15,0
1,0,0,0,0,3.0,1.0,-0.318,-19,-1,30,0,0,0,0,30,0
0,0,0,0,0,3.0,1.0,0.1227,-8,-5,15,0,0,8,0,23,0
0,0,1,1,1,3.0,1.0,1.1107,78,2,0,0,20,15,10,45,0
0,0,0,1,0,3.0,1.0,0.0773,57,-2,15,0,0,15,0,30,0
1,0,0,1,0,3.0,1.0,-0.0813,28,-3,30,0,0,15,0,45,0
0,0,0,1,0,3.0,1.0,0.4713,67,-4,0,0,0,15,0,15,0
0,0,0,1,0,3.0,1.0,-0.5553,12,-3,15,0,0,15,0,30,0
0,0,1,1,1,3.0,1.0,1.1967,95,1,0,0,20,15,10,45,0
0,0,0,0,0,3.0,1.0,-0.4613,-52,-1,15,0,0,0,0,15,0
0,0,0,1,0,3.0,1.0,-0.5473,41,-2,15,0,0,15,0,30,0
0,1,1,1,1,3.0,1.0,0.4973,148,3,0,25,20,15,10,70,0
0,0,0,0,0,3.0,1.0,0.308,-39,-2,0,0,0,0,0,0,0
0,0,1,1,1,3.0,1.0,3.6773,159,3,0,0,20,15,10,45,0
0,0,1,1,0,3.0,1.0,3.994,171,-1,0,0,20,15,0,35,0
1,0,0,1,1,3.0,1.0,-0.1433,108,2,30,0,0,15,10,55,0
0,0,0,1,0,3.0,1.0,2.21,129,-3,0,0,0,15,0,15,0
0,0,0,1,1,3.0,1.0,1.272,203,1,0,0,0,15,10,25,0
1,0,0,1,0,3.0,1.0,-0.2347,18,-4,30,0,0,15,0,45,0
0,1,1,1,1,3.0,1.0,0.7973,227,2,0,25,20,15,10,70,0
0,0,0,1,0,3.0,1.0,-0.488,36,-2,15,0,0,15,0,30,0
0,0,0,1,0,3.0,1.0,-0.4907,27,-2,15,0,0,15,0,30,0
0,0,1,1,0,3.0,1.0,2.7967,65,-1,0,0,20,15,0,35,0
1,0,0,0,0,3.0,1.0,-0.2087,-24,-2,30,0,0,0,0,30,0
0,0,1,1,0,3.0,1.0,2.4907,138,-2,0,0,20,15,0,35,0
1,0,0,1,0,3.0,1.0,-0.3273,28,-2,30,0,0,15,0,45,0
1,0,0,1,0,3.0,1.0,-0.19,26,-2,30,0,0,15,0,45,0
1,0,0,1,0,3.0,1.0,-0.1927,43,-2,30,0,0,15,0,45,0
0,1,0,1,0,3.0,1.0,-0.4593,16,-3,15,25,0,15,0,55,0
0,0,0,1,0,3.0,1.0,-0.6787,37,-4,15,0,0,15,0,30,0
1,0,0,1,0,3.0,1.0,-0.2867,23,-4,30,0,0,15,0,45,0
0,1,1,1,1,3.0,1.0,3.5913,132,3,0,25,20,15,10,70,0
0,0,0,1,0,3.0,1.0,1.5047,208,-2,0,0,0,15,0,15,0
1,0,0,1,0,3.0,1.0,-0.148,62,-2,30,0,0,15,0,45,0
0,1,0,1,0,3.0,1.0,0.7573,176,-2,0,25,0,15,0,40,0
0,0,0,1,0,3.0,1.0,1.6,239,-3,0,0,0,15,0,15,0
0,0,0,1,0,3.0,1.0,-0.3993,38,-1,15,0,0,15,0,30,0
0,0,0,1,0,3.0,1.0,0.2513,35,-3,0,0,0,15,0,15,0
0,0,1,1,1,3.0,1.0,3.6393,104,1,0,0,20,15,10,45,0
0,0,1,1,1,3.0,1.0,1.89,229,0,0,0,20,15,10,45,0
0,0,1,1,1,3.0,1.0,0.6987,275,0,0,0,20,15,10,45,0
0,0,0,1,0,3.0,1.0,0.0693,70,-2,15,0,0,15,0,30,0
1,0,0,1,0,3.0,1.0,-0.3227,59,-1,30,0,0,15,0,45,0
0,0,0,1,0,3.0,1.0,0.32,65,-1,0,0,0,15,0,15,0
0,1,0,1,1,3.0,1.0,2.1447,69,1,0,25,0,15,10,50,0
0,1,0,1,0,3.0,1.0,0.2987,64,-1,0,25,0,15,0,40,0
0,0,0,1,0,3.0,1.0,0.6227,17,-4,0,0,0,15,0,15,0
0,0,0,0,0,3.0,1.0,-0.422,-51,-1,15,0,0,0,0,15,0
0,0,1,1,0,3.0,1.0,0.92,325,-1,0,0,20,15,0,35,0
0,0,0,1,0,3.0,1.0,1.1887,178,-1,0,0,0,15,0,15,0
0,1,1,1,0,3.0,1.0,2.7007,187,-2,0,25,20,15,0,60,0
0,0,0,1,0,3.0,1.0,1.724,171,-1,0,0,0,15,0,15,0
0,0,0,1,0,3.0,1.0,0.5353,33,-4,0,0,0,15,0,15,0
0,0,1,1,1,3.0,1.0,1.954,215,2,0,0,20,15,10,45,0
0,0,1,1,1,3.0,1.0,3.402,190,1,0,0,20,15,10,45,0
0,1,0,1,0,3.0,1.0,1.4613,179,-3,0,25,0,15,0,40,0
0,0,0,1,0,3.0,1.0,0.4827,55,-5,0,0,0,15,0,15,0
0,0,0,1,0,3.0,1.0,0.636,0,-2,0,0,0,15,0,15,0
0,0,0,0,0,3.0,1.0,-0.6727,-11,-1,15,0,0,8,0,23,0
0,1,1,1,1,3.0,1.0,1.3453,294,2,0,25,20,15,10,70,0
0,0,0,0,0,3.0,1.0,-0.43,-11,-5,15,0,0,8,0,23,0
0,0,1,1,1,3.0,1.0,3.1213,43,2,0,0,20,15,10,45,0
0,0,0,1,0,3.0,1.0,2.102,227,-3,0,0,0,15,0,15,0
0,1,0,0,0,3.0,1.0,-0.584,-42,-2,15,25,0,0,0,40,0
0,0,0,1,0,3.0,1.0,0.172,64,-2,15,0,0,15,0,30,0
0,0,1,1,1,3.0,1.0,0.644,220,1,0,0,20,15,10,45,0
0,1,0,0,0,3.0,1.0,0.418,-12,-3,0,25,0,8,0,33,0
1,1,0,0,0,3.0,1.0,-0.148,-11,-5,30,25,0,8,0,63,1
0,1,0,1,0,3.0,1.0,-0.6967,51,-1,15,25,0,15,0,55,0
0,0,0,1,0,3.0,1.0,0.6487,7,-4,0,0,0,15,0,15,0
0,0,0,1,0,3.0,1.0,0.6413,97,-2,0,0,0,15,0,15,0
0,1,0,0,0,3.0,1.0,0.44,-31,-5,0,25,0,0,0,25,0
0,0,1,1,0,3.0,1.0,0.388,141,-2,0,0,20,15,0,35,0
0,0,0,1,0,3.0,1.0,0.662,37,-1,0,0,0,15,0,15,0
0,0,0,0,0,3.0,1.0,0.3267,-5,-1,0,0,0,8,0,8,0
0,0,0,1,0,3.0,1.0,-0.5527,27,-5,15,0,0,15,0,30,0
0,1,0,0,0,3.0,1.0,0.2073,-54,-5,0,25,0,0,0,25,0
1,0,0,1,0,3.0,1.0,-0.036,34,-4,30,0,0,15,0,45,0
1,0,0,0,0,3.0,1.0,-0.3027,-55,-3,30,0,0,0,0,30,0
0,1,0,0,0,3.0,1.0,-0.546,-1,-5,15,25,0,8,0,48,0
0,0,1,1,1,3.0,1.0,2.8147,249,2,0,0,20,15,10,45,0
0,0,1,1,1,3.0,1.0,2.8027,145,3,0,0,20,15,10,45,0
0,1,1,1,0,3.0,1.0,1.902,140,-1,0,25,20,15,0,60,0
1,0,0,0,0,3.0,1.0,-0.014,-6,-5,30,0,0,8,0,38,0
0,1,0,0,0,3.0,1.0,0.474,-28,-4,0,25,0,0,0,25,0
0,1,0,1,0,3.0,1.0,-0.372,16,-5,15,25,0,15,0,55,0
0,0,0,1,1,3.0,1.0,0.9467,46,2,0,0,0,15,10,25,0
0,0,0,0,0,3.0,1.0,-0.6273,-15,-3,15,0,0,8,0,23,0
0,0,0,1,0,3.0,1.0,-0.5387,22,-3,15,0,0,15,0,30,0
1,0,0,1,0,3.0,1.0,-0.2493,46,-2,30,0,0,15,0,45,0
0,1,0,1,0,3.0,1.0,0.1093,35,-4,15,25,0,15,0,55,0
0,0,1,1,1,3.0,1.0,1.7133,319,2,0,0,20,15,10,45,0
0,0,0,0,0,3.0,1.0,0.0347,-36,-1,15,0,0,0,0,15,0
0,0,1,1,0,3.0,1.0,3.91,54,-1,0,0,20,15,0,35,0
0,0,0,1,1,3.0,1.0,0.4787,230,1,0,0,0,15,10,25,0
0,0,0,1,0,3.0,1.0,1.48,59,-3,0,0,0,15,0,15,0
0,0,0,1,0,3.0,1.0,-0.73,49,-1,15,0,0,15,0,30,0
0,1,0,1,0,3.0,1.0,1.2327,20,-3,0,25,0,15,0,40,0
0,1,0,1,1,3.0,1.0,0.2453,59,2,0,25,0,15,10,50,0
0,1,1,1,0,3.0,1.0,3.3233,120,-1,0,25,20,15,0,60,0
0,0,0,1,0,3.0,1.0,1.55,68,-1,0,0,0,15,0,15,0
0,1,0,1,0,3.0,1.0,-0.5833,49,-2,15,25,0,15,0,55,0
0,0,0,1,0,3.0,1.0,0.2627,239,-1,0,0,0,15,0,15,0
1,0,0,1,1,3.0,1.0,-0.3453,241,0,30,0,0,15,10,55,0
0,0,0,1,0,3.0,1.0,0.016,28,-4,15,0,0,15,0,30,0
0,0,1,1,1,3.0,1.0,2.2293,55,1,0,0,20,15,10,45,0
0,0,0,1,0,3.0,1.0,-0.6113,51,-4,15,0,0,15,0,30,0
0,0,0,0,0,3.0,1.0,0.0567,-24,-5,15,0,0,0,0,15,0
0,0,0,1,1,3.0,1.0,2.0593,113,2,0,0,0,15,10,25,0
0,0,0,1,0,3.0,1.0,2.2967,199,-1,0,0,0,15,0,15,0
0,0,1,1,1,3.0,1.0,0.7407,331,2,0,0,20,15,10,45,0
0,0,0,1,0,3.0,1.0,0.458,54,-2,0,0,0,15,0,15,0
